import time: self [us] | cumulative | imported package
import time:       447 |        447 |               torch.nn.modules._functions
import time:       510 |        957 |             torch.nn.modules.batchnorm
import time:       362 |        362 |             torch.nn.modules.instancenorm
import time:       360 |        360 |             torch.nn.modules.normalization
import time:       322 |        322 |             torch.nn.modules.dropout
import time:      1040 |       1040 |             torch.nn.modules.padding
import time:       348 |        348 |             torch.nn.modules.sparse
import time:       624 |        624 |                   torch.nn.utils.rnn
import time:       378 |        378 |                     torch.utils._foreach_utils
import time:       352 |        730 |                   torch.nn.utils.clip_grad
import time:       272 |        272 |                   torch.nn.utils.weight_norm
import time:       305 |        305 |                   torch.nn.utils.convert_parameters
import time:       387 |        387 |                   torch.nn.utils.spectral_norm
import time:       256 |        256 |                   torch.nn.utils.fusion
import time:       248 |        248 |                   torch.nn.utils.memory_format
import time:       406 |        406 |                     torch.nn.utils.parametrize
import time:       417 |        822 |                   torch.nn.utils.parametrizations
import time:       297 |        297 |                   torch.nn.utils.init
import time:       376 |        376 |                     torch.nn.utils._named_member_accessor
import time:       298 |        673 |                   torch.nn.utils.stateless
import time:       446 |       5055 |                 torch.nn.utils
import time:        17 |       5071 |               torch.nn.utils.rnn
import time:      2705 |       7776 |             torch.nn.modules.rnn
import time:       288 |        288 |             torch.nn.modules.pixelshuffle
import time:       406 |        406 |             torch.nn.modules.upsampling
import time:       315 |        315 |             torch.nn.modules.fold
import time:       345 |        345 |             torch.nn.modules.adaptive
import time:       483 |        483 |             torch.nn.modules.transformer
import time:       352 |        352 |             torch.nn.modules.flatten
import time:       249 |        249 |             torch.nn.modules.channelshuffle
import time:       701 |      62657 |           torch.nn.modules
import time:       434 |        434 |             torch.nn.parallel.parallel_apply
import time:       400 |        400 |                 torch.cuda.nccl
import time:       284 |        684 |               torch.nn.parallel.comm
import time:       294 |        977 |             torch.nn.parallel.replicate
import time:       531 |        531 |                 torch.nn.parallel._functions
import time:       310 |        841 |               torch.nn.parallel.scatter_gather
import time:       324 |       1164 |             torch.nn.parallel.data_parallel
import time:       662 |        662 |                   torch.distributed.algorithms.join
import time:       319 |        980 |                 torch.distributed.algorithms
import time:        22 |       1002 |               torch.distributed.algorithms.join
import time:       301 |        301 |               torch.distributed.utils
import time:       233 |        233 |               torch.nn.parallel._replicated_tensor_ddp_utils
import time:      1320 |       2854 |             torch.nn.parallel.distributed
import time:       406 |       5834 |           torch.nn.parallel
import time:       322 |      68812 |         torch.nn
import time:        17 |      68828 |       torch.nn.functional
import time:       326 |        326 |         torch._linalg_utils
import time:       300 |        626 |       torch._lowrank
import time:      2913 |      73513 |     torch.functional
import time:       361 |        361 |         torch.cpu.amp.autocast_mode
import time:       386 |        746 |       torch.cpu.amp
import time:       285 |       1030 |     torch.cpu
import time:       447 |        447 |     torch.fft
import time:       314 |        314 |     torch.nested
import time:       476 |        476 |         torch.signal.windows.windows
import time:       367 |        843 |       torch.signal.windows
import time:       261 |       1104 |     torch.signal
import time:       340 |        340 |         torch.optim.optimizer
import time:       444 |        784 |       torch.optim.adadelta
import time:       307 |        307 |       torch.optim.adagrad
import time:       380 |        380 |       torch.optim.adam
import time:       307 |        307 |       torch.optim.adamw
import time:       281 |        281 |           torch.optim.adamax
import time:       287 |        287 |           torch.optim.asgd
import time:       270 |        270 |           torch.optim.nadam
import time:       280 |        280 |           torch.optim.radam
import time:       264 |        264 |           torch.optim.rmsprop
import time:       267 |        267 |           torch.optim.rprop
import time:       270 |        270 |           torch.optim.sgd
import time:       302 |       2218 |         torch.optim._functional
import time:       297 |       2515 |       torch.optim.sparse_adam
import time:       454 |        454 |       torch.optim.lbfgs
import time:       757 |        757 |       torch.optim.lr_scheduler
import time:       379 |        379 |       torch.optim.swa_utils
import time:       387 |       6267 |     torch.optim
import time:       421 |        421 |     torch.optim._multi_tensor
import time:       454 |        454 |             multiprocessing.process
import time:       476 |        476 |             multiprocessing.reduction
import time:       761 |       1691 |           multiprocessing.context
import time:       646 |       2336 |         multiprocessing
import time:       439 |        439 |         multiprocessing.util
import time:       410 |        410 |         multiprocessing.resource_sharer
import time:       613 |       3797 |       torch.multiprocessing.reductions
import time:       662 |        662 |           _multiprocessing
import time:       565 |       1226 |         multiprocessing.connection
import time:       368 |       1594 |       torch.multiprocessing.spawn
import time:       359 |       5749 |     torch.multiprocessing
import time:       437 |        437 |     torch.special
import time:       292 |        292 |     torch.utils.backcompat
import time:       389 |        389 |       torch.onnx._deprecation
import time:       223 |        223 |         torch.onnx._constants
import time:       247 |        247 |         torch.onnx._internal
import time:       577 |        577 |                 pprint
import time:       339 |        339 |                     torch.onnx._exporter_states
import time:       263 |        263 |                     torch.onnx._globals
import time:       273 |        273 |                     beartype
import time:       280 |       1154 |                   torch.onnx._internal._beartype
import time:       449 |        449 |                       torch.onnx._internal.diagnostics.infra.sarif._property_bag
import time:       807 |       1256 |                     torch.onnx._internal.diagnostics.infra.sarif._address
import time:       458 |        458 |                         torch.onnx._internal.diagnostics.infra.sarif._multiformat_message_string
import time:       483 |        941 |                       torch.onnx._internal.diagnostics.infra.sarif._artifact_content
import time:       652 |        652 |                         torch.onnx._internal.diagnostics.infra.sarif._message
import time:       615 |       1267 |                       torch.onnx._internal.diagnostics.infra.sarif._artifact_location
import time:       790 |       2997 |                     torch.onnx._internal.diagnostics.infra.sarif._artifact
import time:       720 |        720 |                         torch.onnx._internal.diagnostics.infra.sarif._region
import time:       554 |       1273 |                       torch.onnx._internal.diagnostics.infra.sarif._replacement
import time:       639 |       1912 |                     torch.onnx._internal.diagnostics.infra.sarif._artifact_change
import time:       550 |        550 |                       torch.onnx._internal.diagnostics.infra.sarif._rectangle
import time:       545 |       1095 |                     torch.onnx._internal.diagnostics.infra.sarif._attachment
import time:       523 |        523 |                             torch.onnx._internal.diagnostics.infra.sarif._location_relationship
import time:       565 |        565 |                             torch.onnx._internal.diagnostics.infra.sarif._logical_location
import time:       507 |        507 |                             torch.onnx._internal.diagnostics.infra.sarif._physical_location
import time:      1181 |       2775 |                           torch.onnx._internal.diagnostics.infra.sarif._location
import time:       493 |        493 |                             torch.onnx._internal.diagnostics.infra.sarif._tool_component_reference
import time:       531 |       1024 |                           torch.onnx._internal.diagnostics.infra.sarif._reporting_descriptor_reference
import time:       494 |        494 |                             torch.onnx._internal.diagnostics.infra.sarif._stack_frame
import time:       453 |        947 |                           torch.onnx._internal.diagnostics.infra.sarif._stack
import time:       621 |        621 |                           torch.onnx._internal.diagnostics.infra.sarif._web_request
import time:       590 |        590 |                           torch.onnx._internal.diagnostics.infra.sarif._web_response
import time:       751 |       6706 |                         torch.onnx._internal.diagnostics.infra.sarif._thread_flow_location
